trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.9, 'e': 0.9499599116917294}",25,0,-124.14609703108316,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.927228983138112}",25,5,-74.88381947901759,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
85,False,"{'a': 0.9, 'e': 0.9053042682380362}",20,0,-112.74409616084938,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.9, 'e': 0.8841480868472168}",20,15,-1.9837591087974573,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.8637249347023976}",25,0,-32.09383344788328,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.9, 'e': 0.8440013343661124}",30,11,-50.13952559318797,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.8249456979494352}",20,0,-13.030641715117827,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.9, 'e': 0.8065282005609833}",30,0,-97.30553520818589,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.9, 'e': 0.7887206635349224}",25,0,-113.34207085864497,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
92,False,"{'a': 0.9, 'e': 0.7714964465838068}",20,0,-48.61103910134199,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.9, 'e': 0.7548303481051142}",20,0,-57.569702234756875,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.9, 'e': 0.7386985129444936}",25,0,-142.18992278164072,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
95,False,"{'a': 0.9, 'e': 0.7230783469850551}",20,0,-26.44171283089235,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
